,href,Date,City,State,Country,Shape,Summary,Reported,Media,Explanation
161,https://nuforc.org//sighting/?id=178692,10/05/2023 22:10,West Kelowna,BC,Canada,Chevron,Slow moving lower altitude substantial craft appearing to bend light around it,,,
162,https://nuforc.org//sighting/?id=178697,10/05/2023 20:00,Bridgeport,IL,USA,Disk,Large apparently disk shipped object moving in circular motion about 75-150 feet in the air.,,,
163,https://nuforc.org//sighting/?id=178706,10/05/2023 11:25,Grand Canyon,AZ,USA,Cigar,White cigar shaped traveling from north east to southwest straight line absolutely no sound,,,
164,https://nuforc.org//sighting/?id=178732,10/05/2023 01:46,Homosassa,FL,USA,Changing,"We saw a giant red, motionless comet. We ran towards it, and noticed it was a vertical rectangle, tapered back to a point",,,
165,https://nuforc.org//sighting/?id=178713,10/04/2023 21:35,Mineral Wells,TX,USA,Changing,"Stationary shape changing flying object, no noise.",,Y,
166,https://nuforc.org//sighting/?id=178712,10/04/2023 18:32,Los Angeles,CA,USA,Sphere,A plane was flying by and I noticed 3 black spheres circling it as it flew by eventually the spheres went on their own path.,,,
167,https://nuforc.org//sighting/?id=178702,10/03/2023 02:50,Boston,MA,USA,Circle,Airline pilot - Lights high in sky ahead and above coming in and out,,Y,
168,https://nuforc.org//sighting/?id=178525,10/02/2023 22:21,No city on highway,WA,USA,Egg,Followed/stalked by floating egg ( yes I'm aware of how that sounds ),,Y,
169,https://nuforc.org//sighting/?id=178546,10/02/2023 16:04,Fair Oaks,CA,USA,Unknown,60+ white dots flying in circles and undulated paths appeared from the blue sky and after 4+ minutes vanished in the blue sky again.,,,
170,https://nuforc.org//sighting/?id=178606,10/01/2023 19:30,Vancouver,WA,USA,Orb,"2 then 3 red orbs, equally spaced in a line, motionless for over an hour, then individually disappeared and reappeared for another hour",,Y,
171,https://nuforc.org//sighting/?id=178646,09/30/2023 21:45,Rapid City,SD,USA,Chevron,Large Boomerang shape UFO with no lights flew over our house,,,
